epoch,train_loss,train_mae,val_loss,val_mae
0,2.148579015181615,1.09252852168712,20.033544156250063,1.154179042839742
1,1.1319720874448398,0.8019296212510748,0.9050586793448899,0.6959913847865639
2,0.8948735303276187,0.7164134786024199,0.7193972520775848,0.6517778251852308
3,0.74125938641501,0.6485548189708165,0.7186868579669313,0.5891963692156823
4,0.7422061701724817,0.6516908271299614,0.6728501400122275,0.6110257825681141
5,0.6993256751652602,0.6322979399791131,0.55004177070581,0.552330399116317
6,0.721619386103127,0.6348075632538114,0.776560654270125,0.5891261146618769
7,0.612162957234042,0.5905178585550287,0.5312134025843589,0.5199532788860929
8,0.5883657854500708,0.5785612164290397,0.5392227097527011,0.5356885035941888
9,0.5275940251546901,0.5423294894479134,0.6928141798291888,0.5920603620809514
10,0.5438255635755402,0.554994597867295,0.4869382032653788,0.49515948927664494
11,0.4716312737910302,0.5117581095341798,0.4877297063613986,0.4825780065832557
12,0.493769599964003,0.525085089134646,0.45146683349714173,0.4629971710862694
13,0.48138324109898817,0.5198572993606001,0.4674243037026007,0.5061074831001051
14,0.4451020218759448,0.5008902757704913,0.5152081454193199,0.48355675971770024
15,0.4124508153769996,0.4810165836588367,0.4646206768331947,0.4916266075202397
16,0.3884723874238821,0.46570486239679565,0.44339756397428093,0.4826639055550753
17,0.4353405393578194,0.49179840890260845,0.4091989940830639,0.44696357142139265
18,0.40817346280583966,0.4827912667622933,0.4319629445672035,0.4693505800032354
19,0.40723125906763497,0.47675602318166377,0.435372762300156,0.48257523889725024
20,0.3877179086781465,0.46993768477177883,0.4250271532398004,0.4554590771158973
21,0.377710153809288,0.46572812908625866,0.4679840693434516,0.5118785641350589
22,0.3657464405910654,0.46055194178780356,0.4923435429950337,0.5127699748500363
23,0.3200050340248988,0.4210144283024819,0.43348328662770136,0.47092757660609025
24,0.3564589053883657,0.44696408469270876,0.4687194500814427,0.49012842708891563
25,0.31160739277090344,0.41829755713978967,0.4026567292409939,0.44528961132515915
26,0.33178542185943205,0.43446946356977734,0.4461328892426176,0.4626821356487798
27,0.3119715488628372,0.422334933592068,0.44928076568540637,0.4833642732311081
28,0.29769560670132167,0.41818561642379554,0.4007002522984704,0.4458464745964323
29,0.33629559987521435,0.43685428225077116,0.4422554540355782,0.4400314637920359
30,0.3107559729654055,0.4204548253462865,0.42225910813271345,0.4453899098949118
31,0.263049703255132,0.38800913447534646,0.3925797544665389,0.4488930250262166
32,0.25529292516492225,0.38415610773877784,0.39585561878406084,0.4372992027591873
33,0.2879243721510028,0.40687074364869147,0.4800673362154227,0.4720673932806476
34,0.24415010066477807,0.37640787751137555,0.3822039408343179,0.43434735592249984
35,0.23660233277049694,0.37030162416644147,0.40278714334408006,0.43223190242117576
36,0.2578489344648935,0.38821912352200394,0.4802106315945531,0.4941824862917701
37,0.25216612379465786,0.38501603254577615,0.3706321745783418,0.41581142259823095
38,0.20869415644351597,0.3478529153616874,0.4069813508745078,0.45518826570484666
39,0.23254794160743336,0.36924549495125863,0.41719066883836475,0.44304045134193293
40,0.23102024304015295,0.3673606025321143,0.3934035008916488,0.44565308372398
41,0.22178862960292742,0.3568061082572727,0.7588937885158664,0.5145640995476272
42,0.24931065427077995,0.37830085536608327,0.42179196729109836,0.4357581171360645
43,0.23255910536090096,0.3691783836418456,0.3721161868709784,0.4155856238289194
44,0.2257049754671343,0.36396288388705517,0.39758349341023097,0.4274567160960082
45,0.1981528299850422,0.3387588974047493,0.38650087435003166,0.4319883223090853
46,0.20119266455563214,0.3432683432986448,0.3938818833084552,0.43333301947012054
47,0.1798218210933955,0.3242111989593768,0.4145251618964331,0.4471268097122947
48,0.17893268337862178,0.32614891820556513,0.3890107524591488,0.42563972171846326
49,0.18753065420621698,0.329336536700254,0.4082740225552858,0.44984425375094783
50,0.17017162640343655,0.321147630912262,0.4055750872325766,0.4413502509449864
51,0.1629215422813054,0.3097558422730519,0.3953979192199288,0.42157970712735104
52,0.15874511613459377,0.30627374809521896,0.3992013565704718,0.4236152342387608
53,0.14873508183838247,0.29581562871788886,0.3877349104936961,0.40880830454957356
54,0.15664573206187604,0.3025467099396737,0.37934368955237524,0.4216390201351145
55,0.1456279456717791,0.2922200354245993,0.4698985131805415,0.4435628606722905
56,0.1595484530041506,0.30304941338497204,0.3941113557461854,0.40539348174582474
57,0.159622304387145,0.30778270190233714,0.37494638349328724,0.4047541796833604
58,0.14360542249466693,0.29015574702522257,0.40598492602725605,0.4413902726802197
59,0.14910632304355995,0.2962285751824851,0.42688822058530956,0.4696377864578268
60,0.12895623046986676,0.27675729809881566,0.3623480179480144,0.3950816761333864
61,0.13763584845423044,0.28675768892843645,0.3595887270684426,0.39896557864907023
62,0.1466889658758601,0.2932148654382307,0.37054251322706977,0.40004395783602537
63,0.11987111748165481,0.2662575763169226,0.3727411025582434,0.4161178117597496
64,0.12565836576478823,0.27404550168212954,0.37102864416582243,0.41229402691453365
65,0.12309575190378742,0.27039419204651655,0.36778610993872635,0.3905553346151834
66,0.11768120189535093,0.2666240075787345,0.37508897139475894,0.4053706715067664
67,0.12102261942985294,0.2712248670203345,0.37853611240183915,0.39904066167034946
