epoch,train_loss,train_mae,val_loss,val_mae
0,6.9231045106319,2.0913358898474685,7.148597685845344,2.130831840274098
1,6.971237533281539,2.1027181576818057,7.249063004504193,2.150771194761926
2,6.967462002412454,2.1006334681057752,7.219950990362482,2.1396440673660444
3,6.9649538052560125,2.101468155397598,7.184800514808068,2.145016338799026
